GeneName	GeneID	gene_biotype	maxLength
A1BG	ENSG00000121410	protein_coding	3382
A1BG-AS1	ENSG00000268895	lncRNA	2412
A1CF	ENSG00000148584	protein_coding	9517
A2M	ENSG00000175899	protein_coding	4844
A2M-AS1	ENSG00000245105	lncRNA	2930
A2ML1	ENSG00000166535	protein_coding	5127
A2ML1-AS1	ENSG00000256661	lncRNA	452
A2ML1-AS2	ENSG00000256904	lncRNA	386
A2MP1	ENSG00000256069	transcribed_unprocessed_pseudogene	4130
A3GALT2	ENSG00000184389	protein_coding	1023
A4GALT	ENSG00000128274	protein_coding	2321
A4GNT	ENSG00000118017	protein_coding	1779
AAAS	ENSG00000094914	protein_coding	2690
AACS	ENSG00000081760	protein_coding	6647
AACSP1	ENSG00000250420	transcribed_unprocessed_pseudogene	2821
AADAC	ENSG00000114771	protein_coding	1563
AADACL2	ENSG00000197953	protein_coding	5060
AADACL2-AS1	ENSG00000242908	lncRNA	628
AADACL3	ENSG00000188984	protein_coding	4055
AADACL4	ENSG00000204518	protein_coding	1575
AADACP1	ENSG00000240602	transcribed_unprocessed_pseudogene	1285
AADAT	ENSG00000109576	protein_coding	2250
AAGAB	ENSG00000103591	protein_coding	3132
AAK1	ENSG00000115977	protein_coding	21156
AAMDC	ENSG00000087884	protein_coding	726
AAMP	ENSG00000127837	protein_coding	2270
AANAT	ENSG00000129673	protein_coding	1913
AAR2	ENSG00000131043	protein_coding	2689
AARD	ENSG00000205002	protein_coding	2291
AARS1	ENSG00000090861	protein_coding	3477
AARS1P1	ENSG00000249038	processed_pseudogene	453
AARS2	ENSG00000124608	protein_coding	4799
AARSD1	ENSG00000266967	protein_coding	1320
AASDH	ENSG00000157426	protein_coding	3581
AASDHPPT	ENSG00000149313	protein_coding	5143
AASS	ENSG00000008311	protein_coding	5825
AATBC	ENSG00000215458	lncRNA	4598
AATF	ENSG00000275700	protein_coding	2062
AATK	ENSG00000181409	protein_coding	11894
ABALON	ENSG00000281376	lncRNA	1903
ABAT	ENSG00000183044	protein_coding	5585
ABBA01000933.1	ENSG00000283367	sRNA	160
ABBA01000935.2	ENSG00000283544	unprocessed_pseudogene	838
ABBA01006766.1	ENSG00000265233	processed_pseudogene	169
ABBA01010928.1	ENSG00000283274	rRNA	151
ABBA01031658.1	ENSG00000283568	rRNA	152
ABBA01031669.1	ENSG00000283592	misc_RNA	112
ABBA01037345.1	ENSG00000278294	rRNA	152
ABBA01037348.1	ENSG00000278457	rRNA	119
ABBA01045074.1	ENSG00000286916	processed_pseudogene	357
ABBA01045074.2	ENSG00000287800	processed_pseudogene	204
ABCA1	ENSG00000165029	protein_coding	10408
ABCA10	ENSG00000154263	protein_coding	6362
ABCA11P	ENSG00000251595	transcribed_processed_pseudogene	2110
ABCA12	ENSG00000144452	protein_coding	9298
ABCA13	ENSG00000179869	protein_coding	17188
ABCA17P	ENSG00000238098	transcribed_unitary_pseudogene	4188
ABCA2	ENSG00000107331	protein_coding	8154
ABCA3	ENSG00000167972	protein_coding	6602
ABCA4	ENSG00000198691	protein_coding	7328
ABCA5	ENSG00000154265	protein_coding	8252
ABCA6	ENSG00000154262	protein_coding	8186
ABCA7	ENSG00000064687	protein_coding	6883
ABCA8	ENSG00000141338	protein_coding	6002
ABCA9	ENSG00000154258	protein_coding	6377
ABCA9-AS1	ENSG00000231749	lncRNA	838
ABCB1	ENSG00000085563	protein_coding	5205
ABCB10	ENSG00000135776	protein_coding	3869
ABCB10P1	ENSG00000274099	processed_pseudogene	2179
ABCB10P3	ENSG00000261524	processed_pseudogene	2166
ABCB10P4	ENSG00000260053	processed_pseudogene	2184
ABCB11	ENSG00000073734	protein_coding	6934
ABCB4	ENSG00000005471	protein_coding	4269
ABCB5	ENSG00000004846	protein_coding	5811
ABCB6	ENSG00000115657	protein_coding	3007
ABCB7	ENSG00000131269	protein_coding	4593
ABCB8	ENSG00000197150	protein_coding	4678
