GeneName	GeneID	gene_biotype	maxLength
0610005C13Rik	ENSMUSG00000109644	lncRNA	2434
0610006L08Rik	ENSMUSG00000108652	lncRNA	1589
0610009B22Rik	ENSMUSG00000007777	protein_coding	892
0610009E02Rik	ENSMUSG00000086714	lncRNA	1609
0610009L18Rik	ENSMUSG00000043644	lncRNA	619
0610010F05Rik	ENSMUSG00000042208	protein_coding	4392
0610010K14Rik	ENSMUSG00000020831	protein_coding	880
0610012D04Rik	ENSMUSG00000089755	lncRNA	531
0610012G03Rik	ENSMUSG00000107002	protein_coding	1445
0610025J13Rik	ENSMUSG00000046683	lncRNA	713
0610030E20Rik	ENSMUSG00000058706	protein_coding	4609
0610031O16Rik	ENSMUSG00000099146	lncRNA	1429
0610033M10Rik	ENSMUSG00000108236	lncRNA	1102
0610038B21Rik	ENSMUSG00000097882	lncRNA	1687
0610039K10Rik	ENSMUSG00000058812	lncRNA	952
0610040B10Rik	ENSMUSG00000089889	lncRNA	1643
0610040F04Rik	ENSMUSG00000087341	lncRNA	1734
0610040J01Rik	ENSMUSG00000060512	protein_coding	2008
0610043K17Rik	ENSMUSG00000087361	lncRNA	614
0710001A04Rik	ENSMUSG00000114511	lncRNA	1345
1010001B22Rik	ENSMUSG00000097863	lncRNA	589
1010001N08Rik	ENSMUSG00000097222	lncRNA	1967
1100001I12Rik	ENSMUSG00000115547	lncRNA	672
1110002E22Rik	ENSMUSG00000090066	protein_coding	9741
1110002J07Rik	ENSMUSG00000097134	lncRNA	2229
1110002L01Rik	ENSMUSG00000071456	lncRNA	3569
1110002O04Rik	ENSMUSG00000102531	lncRNA	566
1110003F10Rik	ENSMUSG00000106291	TEC	767
1110004F10Rik	ENSMUSG00000030663	protein_coding	1479
1110006O24Rik	ENSMUSG00000107121	lncRNA	764
1110008E08Rik	ENSMUSG00000046119	lncRNA	723
1110008P14Rik	ENSMUSG00000039195	protein_coding	2618
1110012L19Rik	ENSMUSG00000045237	protein_coding	1094
1110013H19Rik	ENSMUSG00000116164	lncRNA	671
1110015O18Rik	ENSMUSG00000098659	lncRNA	1533
1110017D15Rik	ENSMUSG00000028441	protein_coding	1114
1110018N20Rik	ENSMUSG00000085151	lncRNA	1162
1110019B22Rik	ENSMUSG00000112289	lncRNA	989
1110019D14Rik	ENSMUSG00000097616	lncRNA	1499
1110020A21Rik	ENSMUSG00000097047	lncRNA	853
1110025L11Rik	ENSMUSG00000068073	protein_coding	591
1110025M09Rik	ENSMUSG00000103520	TEC	855
1110028F11Rik	ENSMUSG00000085972	lncRNA	837
1110028F18Rik	ENSMUSG00000099139	lncRNA	1341
1110032A03Rik	ENSMUSG00000037971	protein_coding	2761
1110032F04Rik	ENSMUSG00000046999	protein_coding	2578
1110035H17Rik	ENSMUSG00000099098	lncRNA	1241
1110038B12Rik	ENSMUSG00000092203	lncRNA	934
1110038F14Rik	ENSMUSG00000063236	protein_coding	1646
1110046J04Rik	ENSMUSG00000085457	lncRNA	2775
1110051M20Rik	ENSMUSG00000040591	protein_coding	2896
1110057P08Rik	ENSMUSG00000068067	protein_coding	465
1110059E24Rik	ENSMUSG00000035171	protein_coding	1614
1110059G10Rik	ENSMUSG00000032551	protein_coding	3361
1110060G06Rik	ENSMUSG00000105036	TEC	499
1110065P20Rik	ENSMUSG00000078570	protein_coding	1251
1190001M18Rik	ENSMUSG00000111857	lncRNA	1270
1190005I06Rik	ENSMUSG00000043687	protein_coding	844
1190007I07Rik	ENSMUSG00000063320	protein_coding	716
1190028D05Rik	ENSMUSG00000110013	lncRNA	763
1200007C13Rik	ENSMUSG00000087684	lncRNA	2455
1300002E11Rik	ENSMUSG00000097290	lncRNA	3556
1300014J16Rik	ENSMUSG00000112545	lncRNA	1337
1300017J02Rik	ENSMUSG00000033688	protein_coding	2470
1500002C15Rik	ENSMUSG00000096221	lncRNA	2183
1500002F19Rik	ENSMUSG00000097595	lncRNA	712
1500004A13Rik	ENSMUSG00000098912	lncRNA	6051
1500005C15Rik	ENSMUSG00000104888	TEC	2394
1500009C09Rik	ENSMUSG00000068099	protein_coding	1552
1500009L16Rik	ENSMUSG00000087651	protein_coding	2405
1500011B03Rik	ENSMUSG00000072694	protein_coding	1333
1500012K07Rik	ENSMUSG00000097247	lncRNA	2345
1500015A07Rik	ENSMUSG00000098702	lncRNA	1865
1500015L24Rik	ENSMUSG00000094732	lncRNA	1674
1500026H17Rik	ENSMUSG00000097383	lncRNA	3026
1500032F14Rik	ENSMUSG00000117718	lncRNA	460
1500035N22Rik	ENSMUSG00000059631	lncRNA	865
1520401A03Rik	ENSMUSG00000043747	protein_coding	3727
1600002D24Rik	ENSMUSG00000117232	lncRNA	1855
1600002K03Rik	ENSMUSG00000035595	protein_coding	678
1600010M07Rik	ENSMUSG00000101585	lncRNA	1204
1600012H06Rik	ENSMUSG00000050088	protein_coding	2523
1600012P17Rik	ENSMUSG00000047661	lncRNA	2475
1600014C10Rik	ENSMUSG00000054676	protein_coding	3343
1600014C23Rik	ENSMUSG00000094690	protein_coding	518
1600017P15Rik	ENSMUSG00000102505	TEC	890
1600017P15Rik	ENSMUSG00000065361	misc_RNA	890
1600019K03Rik	ENSMUSG00000099429	lncRNA	477
1600020E01Rik	ENSMUSG00000097048	lncRNA	2099
1600022D10Rik	ENSMUSG00000117315	lncRNA	1562
1600023N17Rik	ENSMUSG00000104986	TEC	1007
1600025M17Rik	ENSMUSG00000085114	lncRNA	666
1600027J07Rik	ENSMUSG00000110340	lncRNA	489
1600029O15Rik	ENSMUSG00000057818	transcribed_processed_pseudogene	1809
1700001C02Rik	ENSMUSG00000029182	protein_coding	731
1700001C19Rik	ENSMUSG00000047150	protein_coding	1622
